clubid,name,division,based
2601,Foulad,Iranian Professional League,Iran (Pro League)
2602,Fram,Icelandic First Division,Iceland (First Division)
2603,Fram Larvik,Norwegian Second Division Group 2,Norway (Second Division Group 2)
2604,Francavilla Sinni,Italian Serie D Grp. H,Italy (Serie D Grp. H)
2605,Francs Borains,Belgian Second Amateur Division C,Belgium (Second Division C)
2606,Frankopan RA,Croatian Regional League - Vukovar (16),Croatia (ZNL - Vukovar)
2607,Fraser Park,National Premier Leagues - NSW 4,Australia (NPL - NSW 4)
2608,Fraserburgh,Highland Football League,Scotland (Highland League)
2609,Fraserburgh Utd,Scottish Juniors North First Division,Scotland (North Division 1)
2610,Frauenfeld,Swiss Lower Division,Switzerland (Lower Division)
2611,Fredensborg,Danish Lower Division,Denmark (Lower Division)
2612,Fredrikstad,Norwegian Fourth Division Group 1,Norway (Fourth Division Ãstfold)
2613,Freiberg,German Div. Baden-WÃ¼rttemberg,Germany (Baden-WÃ¼rttemberg)
2614,Freienbach,Swiss Second League Interregio Gr 5,Switzerland (Second League Inter Gr 5)
2615,Freipaulistano,Brazilian National Lower Division,Brazil (Lower Division)
2616,Frem,2. Division,Denmark (2. Division)
2617,Fremad Amager,NordicBet Liga,Denmark (NordicBet Liga)
2618,Fremad Valby,Denmark's Series Group 1,Denmark (Denmark's Series Group 1)
2619,Fremantle City FC,Western Australia State League Division 2,Australia (WA State League Div 2)
2620,Fremantle Croatia,Western Australia Amateur League Premier Division,Australia (WA Amateur Premier Div.)
2621,Frenchville,Australian Lower Leagues,Australia (Lower Leagues)
2622,Frenstat,Czech Fourth Division F,Czech Republic (Fourth Division F)
2623,Fresnillo,Mexican Premier Division Serie A Group I,Mexico (Serie A Group I)
2624,Fribourg,Swiss Second League Interregio Gr 2,Switzerland (Second League Inter Gr 2)
2625,Friburguense,Brazilian National Lower Division,Brazil (Lower Division)
2626,Friends,Nepali A-Division League,Nepal (A-Division)
2627,Friesoythe,German Lower Division,Germany (German Lower Division)
2628,Frigg,Norwegian Third Division Group 2,Norway (Third Division Group 2)
2629,Friska Viljor r.f.,Finnish Lower Division,Finland (Lower Division)
2630,Frixos,Greek Amateur Division - Kavala,Greece (GAD - Kavala)
2631,Frontera Rivera,Uruguayan Rivera League,Uruguay (Rivera League)
2632,Frosinone,Italian Serie B,Italy (Serie B)
2633,Frydek-Mistek,Czech Third Division MSFL,Czech Republic (Third Division MSFL)
2634,FS Stars,South African National First Division,South Africa (National First Division)
2635,FSV Duisburg,German Lower Division,Germany (German Lower Division)
2636,FSV Frankfurt,German Regional Division Southwest,Germany (Regional Div. Southwest)
2637,FT Braunschweig,German Div. Lower Saxony,Germany (Lower Saxony)
2638,Fu/Vo,Norwegian Fourth Division Group 2,Norway (Fourth Division Akershus)
2639,Fuenlabrada,Spanish Second Division,Spain (Second Division)
2640,Fuerza Minera,Peruvian Copa Peru,Peru (Copa Peru)
2641,Fujairah,UAE Professional League,U.A.E. (Pro League)
2642,Fulham,English Premier Division,England (Premier Division)
2643,Fuli (HK),Hong Kong Premier League,Hong Kong (China PR) (Premier League)
2644,Fulnek,Czech Lower Division,Czech Republic (Lower Division)
2645,Fully,Swiss Lower Division,Switzerland (Lower Division)
2646,Furnes,Norwegian Fourth Division Group 6,Norway (Fourth Div. Indre Ãst. A)
2647,FUS Rabat,Moroccan Premier Division,Morocco (Premier Division)
2648,FUSC Bois-Guillaume,French Regional Divisions,France (Regional Divisions)
2649,Futog,Serbian Lower League,Serbia (Lower League)
2650,Futura,Finnish Third Division,Finland (Finnish Third Division)
2651,Futuro Kings,Premier Division - Continental,Eq. Guinea (1. Continental)
2652,Fuzinar,Slovenian Second League,Slovenia (Second League)
2653,Fylde,Vanarama National League,England (Vanarama National)
2654,Fylkir,Icelandic Premier Division,Iceland (Premier Division)
2655,Fyllingsdalen,Norwegian Third Division Group 4,Norway (Third Division Group 4)
2656,Fyllo,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
2657,G. Torrelavega,Spanish Third Division Group 3,Spain (Third Division Group 3)
2658,Gabcikovo,Slovak Lower Division,Slovakia (Lower Division)
2659,Gaborone Utd,Botswanan Premier Division,Botswana (Premier Division)
2660,Gadna,Israeli Youth National League South Division,Israel (Youth National South Div.)
2661,GAIS,Swedish First Division Elite,Sweden (First Division Elite)
2662,Gaj Mace,Croatian Third League Central,Croatia (Third League Central)
2663,Gala Fairydean Rovers,Scottish Lowland League,Scotland (Lowland League)
2664,Galanta,Slovak Lower Division,Slovakia (Lower Division)
2665,Galataki,Greek Amateur Division - Korinthia,Greece (GAD - Korinthia)
2666,Galatasaray,Turkish Super League,Turkey (Super League)
2667,Galatsi,Greek Amateur Division - Athens,Greece (GAD - Athens)
2668,Galeos Kagoshima,Nihon-League 2,Japan (Nihon-League 2)
2669,Galway Utd,Irish First Division,Ireland (First Division)
2670,Galychyna-Beskyd IF,Ukrainian Lower Division,Ukraine (Lower Division)
2671,Gama,Brazilian National Lower Division,Brazil (Lower Division)
2672,Gambarogno-Contone,Swiss Second League Interregio Gr 4,Switzerland (Second League Inter Gr 4)
2673,Gambas Avenue,Singaporean Lower Division,Singapore (Lower Division)
2674,Gamle Oslo,Norwegian Lower Division,Norway (Lower Division)
2675,Gancani,Slovenian Lower League,Slovenia (Lower League)
2676,Gandzasar,Armenian High League,Armenia (High League)
2677,Gangneung City,Korean National League,South Korea (N-League)
2678,Gangwon,Hana 1Q K LEAGUE 1,South Korea (K LEAGUE 1)
2679,Ganshoren,Belgian Third Amateur Division A (Wal),Belgium (Third Division C)
2680,Garbarnia,Polish Second Division,Poland (Second Division)
2681,Garching,German Regional Division Bavaria,Germany (Regional Div. Bavaria)
2682,Garcilaso,Peruvian Copa Peru,Peru (Copa Peru)
2683,Gardel de San Carlos,Uruguayan Maldonado League,Uruguay (Maldonado League)
2684,Gárdony,Hungarian Lower Division,Hungary (Lower Division)
2685,Gartenstadt,German Lower Division,Germany (German Lower Division)
2686,Gateshead,Vanarama National League North,England (Vanarama North)
2687,Gatne,Ukrainian Reg Div - Kyivo-Svyatoshynskyi r-n,Ukraine (URD - Kyivo-Svyatosh. r-n)
2688,Gavilanes,Mexican Premier Division Serie A Group I,Mexico (Serie A Group I)
2689,Gaz. Ajaccio,French National,France (National)
2690,Gaziantep FK,Turkish Super League,Turkey (Super League)
2691,GBK,Finnish Second Division Group C,Finland (Second Division Group C)
2692,GBK/II,Finnish Lower Division,Finland (Lower Division)
2693,GC Lucciana,French National 3 - Corse - MÃ©diterranÃ©e,France (Nat 3 - Corse - Med)
2694,GD Southern Tigers,Chinese National First Division,China (First Division)
2695,GDR Guipavas,French Regional Divisions,France (Regional Divisions)
2696,Geel,Belgian Second Amateur Division B,Belgium (Second Division B)
2697,Geelong Rangers,Victorian State League 2 North-West,Australia (Vic SL 2NW)
2698,Geelong SC,National Premier Leagues - Victoria 3,Australia (NPL - Victoria 3)
2699,Gefle IF,Swedish First Division North,Sweden (First Division North)
2700,Gelbison,Italian Serie D Grp. H,Italy (Serie D Grp. H)
2701,General Belgrano,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2702,General Paz Jrs,Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
2703,General Rojo,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2704,General Velásquez,Chilean Second Division,Chile (Second Division)
2705,Genoa,Italian Serie A,Italy (Serie A)
2706,Genolier-Begnins,Swiss Second League Interregio Gr 1,Switzerland (Second League Inter Gr 1)
2707,Genova Calcio,Italian Eccellenza Liguria,Italy (Eccellenza Liguria)
2708,George Telegraph,Indian Lower Division,India (Indian Lower Division)
2709,Georgia Revolution,NPSL South Region,U.S.A. (South Region)
2710,Gerakas,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
2711,Geraldines,Irish Limerick & District Premier Division,Ireland (Limerick Premier Division)
2712,Gerecja vas,Slovenian Lower League,Slovenia (Lower League)
2713,Gerena,Spanish Third Division Group 10,Spain (Third Division Group 10)
2714,Geretsried,German Lower Division,Germany (German Lower Division)
2715,Germaneya,Bulgarian A Regional Groups,Bulgaria (A OFG)
2716,Germania Egestorf,German Div. Lower Saxony,Germany (Lower Saxony)
2717,Germinal (Rawson),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
2718,Gernika,Spanish Third Division Group 4,Spain (Third Division Group 4)
2719,Getafe,Spanish First Division,Spain (First Division)
2720,Getafe B,Spanish Second Division B1,Spain (Second Division B1)
2721,Getxo,Spanish DivisiÃ³n Honor Vizcaya,Spain (Div. Honor Vizcaya)
2722,Geylang Int.,Singaporean Premier League,Singapore (Premier League)
2723,GG,Icelandic Lower Division,Iceland (Lower Division)
2724,GhiviBorgo,Italian Serie D Grp. A,Italy (Serie D Grp. A)
2725,Gia Lai,V.League One,Vietnam (V.League 1)
2726,Giana Erminio,Italian Serie C/A,Italy (Serie C/A)
2727,GIF Sundsvall,Swedish Premier Division,Sweden (Premier Division)
2728,Gigant Saedinenie,Bulgarian Third League South-East,Bulgaria (Third SE League)
2729,Gil Vicente,Portuguese Premier League,Portugal (Premier League)
2730,Gillingham,Sky Bet League One,England (Sky Bet League One)
2731,Gimhae,Korean National League,South Korea (N-League)
2732,Gimnasia (CDU),Argentine Torneo Federal A,Argentina (Interior Zone)
2733,Gimnasia (Jujuy),Argentine Second Division,Argentina (Second Division)
2734,Gimnasia (LP),Argentine Premier Division,Argentina (Premier Division)
2735,Gimnasia (Mendoza),Argentine Second Division,Argentina (Second Division)
2736,Gimnasia (SF),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2737,Gimnasia y Tiro,Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
2738,Gimpo,Korean K3 League,South Korea (K3 League)
2739,Ginsheim,German Div. Hessia,Germany (Hessia)
2740,Giorgione,Italian Eccellenza Veneto Grp.A,Italy (Eccellenza Veneto A)
2741,Giouchtas,Greek Regional Division Group 8,Greece (Regional Division 8)
2742,Giresunspor,Turkish 1. League,Turkey (1. League)
2743,Girnyk-Sport,Ukrainian First League,Ukraine (First League)
2744,Girnyk Kryvyi Rih,Ukrainian Second League - Group B,Ukraine (Second League - Group B)
2745,Girona,Spanish Second Division,Spain (Second Division)
2746,Girona B,Spanish Primera Catalana Gr. 1,Spain (Primera Catalana G1)
2747,Girvan,Scottish Juniors West Region League One,Scotland (West League 1)
2748,Gisborne City,New Zealand Lower Division,New Zealand (Lower Division)
2749,Giugliano,Italian Serie D Grp. I,Italy (Serie D Grp. I)
2750,Giurare Yokohama,Nihon-League 1,Japan (Nihon-League 1)
2751,Givry,Belgian Second Amateur Division C,Belgium (Second Division C)
2752,Gjilani,Kosovan Superleague,Kosovo (Superleague)
2753,GKS Katowice,Polish Second Division,Poland (Second Division)
2754,GKS Nowiny,Polish Fourth Division,Poland (Fourth Division)
2755,GKS Przodkowo,Polish Fourth Division,Poland (Fourth Division)
2756,GKS Tychy,Polish First Division,Poland (First Division)
2757,GKS Wikielec,Polish Fourth Division,Poland (Fourth Division)
2758,Glacis Utd,Gibraltar National League,Gibraltar (National League)
2759,Gladesville Ryde Magic,National Premier Leagues - NSW 3,Australia (NPL - NSW 3)
2760,Gland,Swiss Lower Division,Switzerland (Lower Division)
2761,Glasgow Perthshire,Scottish Juniors West Region League One,Scotland (West League 1)
2762,Glavice,Croatian Regional League - Split (17),Croatia (ZNL - Split)
2763,Glebe North,Irish Leinster Senior League First Division,Ireland (Leinster First Division)
2764,Glebe Rangers,Northern Irish Ballymena Premier Division,N.Ireland (Ballymena Premier)
2765,Glenafton,Scottish Juniors West Region Premiership,Scotland (West Region Premiership)
2766,Glenavon,Danske Bank Premiership,N.Ireland (Danske Bank Premier)
2767,Glencairn,Scottish Juniors West Region Premiership,Scotland (West Region Premiership)
2768,Glendene Utd,SAFA Western Cape Division 2,South Africa (Western Cape Division 2)
2769,Glenfield,New Zealand NRFL Premier Division,New Zealand (NRFL Premier)
2770,Glenorchy Knights,Tasmanian Southern Championship,Australia (Tas Southern Championship)
2771,Glenroy Lions,Victorian State League 5 - North,Australia (Vic State League 5 North)
2772,Glentoran,Danske Bank Premiership,N.Ireland (Danske Bank Premier)
2773,GLO,Brazilian National Third Division,Brazil (Third Division)
2774,Global,Philippine Premier League,Philippines (Premier League)
2775,Gloucester,Vanarama National League North,England (Vanarama North)
2776,Gloucester Celtic,Lower Leagues,Canada (Lower Leagues)
2777,Glyka Nera,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
2778,Gnistan,Finnish Second Division Group B,Finland (Second Division Group B)
2779,Gnistan/Ogeli,Finnish Lower Division,Finland (Lower Division)
2780,Go Ahead,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
2781,Goa,Unknown,India
2782,Godoy Cruz,Argentine Premier Division,Argentina (Premier Division)
2783,Goiás,Brazilian National First Division,Brazil (First Division)
2784,Gokulam Kerala,Indian National Football League,India (National Football League)
2785,Gol Gohar,Iranian Professional League,Iran (Pro League)
2786,Gol Reyhan Alborz,Iranian First Division,Iran (First Division)
2787,Gold Coast Knights,National Premier Leagues - Queensland,Australia (NPL Queensland)
2788,Gold Coast Utd (NPL),National Premier Leagues - Queensland,Australia (NPL Queensland)
2789,Goldau,Swiss First League Group 2,Switzerland (First League Group 2)
2790,Golden Arrows,South African Premier Soccer League,South Africa (South African Premiership)
2791,Golden Star,Martinican Trophee Gerard Janvion,Martinique (RÃ©gionale 1)
2792,Golden State Force,USSL D3 - Southwest Division,U.S.A. (Southwest Division)
2793,Gombe Utd,Nigerian Second Division,Nigeria (Second Division)
2794,Gomel,Belarusian Highest League,Belarus (Highest League)
2795,Gomes,Zambian First Division - Zone 2,Zambia (First Division - Zone 2)
2796,Gondomar,Portugal Championship - Group B,Portugal (PT Championship B)
2797,Gondomar C.F.,Spanish Regional Division,Spain (Regional Division)
2798,Gor Mahia,Kenyan Premier Division,Kenya (Premier Division)
2799,Gorey Rangers,Irish Wexford Football League Premier Division,Ireland (Wexford Premier Division)
2800,Gorica,Slovenian Second League,Slovenia (Second League)
2801,Goricanka,Slovenian Lower League,Slovenia (Lower League)
2802,Gorki,Belarusian Second League,Belarus (Second League)
2803,Gorodeya,Belarusian Highest League,Belarus (Highest League)
2804,Gortys,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
2805,GOSK,Federation of BiH First League,Bosnia & Herzegovina (First League FBiH)
2806,GOSK Dubrovnik,Croatian Third League South,Croatia (Third League South)
2807,GOSK KG,Croatian Regional League - Split (17),Croatia (ZNL - Split)
2808,Gosnells City,Western Australia State League Division 1,Australia (WA State League Div 1)
2809,Gosport,English Southern League Premier South,England (Southern Premier South)
2810,Gossau,Swiss First League Group 3,Switzerland (First League Group 3)
2811,Goulburn Valley Suns,National Premier Leagues - Victoria 2,Australia (NPL - Victoria 2)
2812,Gozzano,Italian Serie C/A,Italy (Serie C/A)
2813,Gqikazi All Stars,SAFA Kwazulu Natal Division 3,South Africa (Kwazulu Natal Division 3)
2814,Grad,Slovenian Lower League,Slovenia (Lower League)
2815,Gradici,Croatian Regional League - Zagreb (1),Croatia (ZNL - Greater Zagreb)
2816,Graficar,Serbian First League,Serbia (First League)
2817,Grajena,Slovenian Lower League,Slovenia (Lower League)
2818,Gral. Lamadrid,Argentine Metropolitan C Zone,Argentina (Fourth Division AFA)
2819,Gramenet,Spanish Regional Division,Spain (Regional Division)
2820,Grammochoria,Greek Amateur Division - Kastoria,Greece (GAD - Kastoria)
2821,Gran Valencia Maracay,Venezuelan Second Division,Venezuela (Second Division)
2822,Granada,Spanish First Division,Spain (First Division)
2823,Granada B,Spanish Second Division B4,Spain (Second Division B4)
2824,Grand-Quevilly FC,French National 3 - Normandie,France (Nat 3 - Normandie)
2825,Grange Thistle,Brisbane Premier League,Australia (BPL)
2826,Granges,Swiss Lower Division,Switzerland (Lower Division)
2827,Granicar Zupanja,Croatian Third League East,Croatia (Third League East)
2828,Granit,Belarusian First League,Belarus (First League)
2829,Granit Vladaya,Bulgarian A Regional Groups,Bulgaria (A OFG)
2830,Granitis,Greek Amateur Division - Chania,Greece (GAD - Chania)
2831,Granollers,Spanish Third Division Group 5,Spain (Third Division Group 5)
2832,Grantham,English Northern Premier League Premier Division,England (Northern Premier League)
2833,Granville Rage,National Premier Leagues - NSW 4,Australia (NPL - NSW 4)
2834,Grasshoppers,Swiss Challenge League,Switzerland (Challenge League)
2835,Grassy Park,SAFA Western Cape Division 2,South Africa (Western Cape Division 2)
2836,Grazer AK 1902,Austrian First Division,Austria (First Division)
2837,Grbalj,Montenegrin First League,Montenegro (First League)
2838,Great Wakering,English Isthmian League North Division,England (Isthmian D1N)
2839,Grecia FC,Primera DivisiÃ³n de Costa Rica,Costa Rica (Primera DivisiÃ³n)
2840,Green Gully,National Premier Leagues - Victoria,Australia (NPL Victoria)
